bits_per_key,k,num_blocks,observed_fp_mean,observed_fp_ci_lo,observed_fp_ci_hi,theoretical_fp,standard_formula_fp
4,3,79,0.14514266,0.1450701671,0.1452151529,0.1451942565,0.14362523
5,3,98,0.09261283,0.09255396413,0.09267169587,0.09259087193,0.0911445162
6,4,118,0.05730082,0.05725366726,0.05734797274,0.05734821968,0.05497602279
7,5,137,0.03667549,0.03663762352,0.03671335648,0.0366878559,0.03441465498
8,6,157,0.02410029,0.0240693647,0.0241312153,0.02410028228,0.02116446922
9,6,176,0.01544395,0.01541909122,0.01546880878,0.01543927847,0.01320264069
10,7,196,0.00992849,0.009908752102,0.009948227898,0.009927521077,0.008055640102
11,8,215,0.00727524,0.007258204268,0.007292275732,0.007271479864,0.005066329347
12,8,235,0.00467557,0.004662033566,0.004689106434,0.004686254123,0.003095585536
13,9,254,0.00302707,0.003016193483,0.003037946517,0.00304802806,0.001933950329
14,10,274,0.00217815,0.002168813809,0.002187486191,0.002182257351,0.001184368478
15,10,293,0.00146502,0.001457482859,0.001472557141,0.001465228319,0.0007434339711
16,11,313,0.00102559,0.001019231237,0.001031948763,0.00102587762,0.0004531340535
17,12,333,0.00082654,0.0008208091471,0.0008322708529,0.0008240520431,0.0002771529326
18,12,352,0.00057064,0.0005658338017,0.0005754461983,0.0005715501445,0.0001743097212
19,13,372,0.00041559,0.0004115588664,0.0004196211336,0.0004148819452,0.0001061947228
20,14,391,0.00037968,0.0003757947961,0.0003835652039,0.000381264598,6.651708707e-05
