load_factor,observed_fp_mean,observed_fp_ci_lo,observed_fp_ci_hi,theoretical_fp,atomic_fp_mean,sharded_fp_mean
0.25,1.058e-05,9.938217217e-06,1.122178278e-05,1.047111762e-05,1.11e-05,9.6e-06
0.3684210526,8.197e-05,8.018707357e-05,8.375292643e-05,8.25815758e-05,8.21e-05,7.48e-05
0.4868421053,0.00035445,0.0003507947353,0.0003581052647,0.0003574069426,0.0003566,0.0003149
0.6052631579,0.00108643,0.001079957435,0.001092902565,0.001090312243,0.0010942,0.0009714
0.7236842105,0.00263808,0.002627929192,0.002648230808,0.002644511498,0.002645,0.0023545
0.8421052632,0.00545864,0.00544390114,0.00547337886,0.005459149124,0.005484,0.0049167
0.9605263158,0.00999161,0.009971667887,0.01001155211,0.009988941817,0.0100166,0.0090957
1.078947368,0.01666714,0.01664158675,0.01669269325,0.01666655866,0.0167092,0.0151774
1.197368421,0.02585481,0.02582308857,0.02588653143,0.02585171176,0.0259177,0.0236782
1.315789474,0.03778507,0.03774683367,0.03782330633,0.03780342349,0.0378029,0.034803
1.434210526,0.05262253,0.05257674791,0.05266831209,0.05267886906,0.0526597,0.0486398
1.552631579,0.07044224,0.07038939772,0.07049508228,0.07047876792,0.0703956,0.0653163
1.671052632,0.09111062,0.09105098093,0.09117025907,0.09113101419,0.0911078,0.0848148
1.789473684,0.11443284,0.1143661764,0.1144995036,0.1144582824,0.1144406,0.1068945
1.907894737,0.14018061,0.1401074931,0.1402537269,0.1402084506,0.140285,0.131438
2.026315789,0.16808474,0.1680058809,0.1681635991,0.1680993314,0.1682074,0.1580349
2.144736842,0.19776635,0.1976823731,0.1978503269,0.1977424474,0.1977702,0.1865508
2.263157895,0.2288277,0.2287389698,0.2289164302,0.2288025607,0.2287925,0.2163459
2.381578947,0.26093051,0.2608365117,0.2610245083,0.2609202219,0.2609821,0.2473911
2.5,0.29377204,0.2936732183,0.2938708617,0.2937746768,0.2938322,0.2793089
