k,load_factor,observed_fp_mean,theoretical_fp
3,0.25,0.00051266,0.0005108473521
3,0.5,0.00330291,0.003296975947
3,0.75,0.00959177,0.009597194517
3,1,0.01998298,0.01999319258
3,1.5,0.05327007,0.05329288822
4,0.25,0.00013696,0.0001380873294
4,0.5,0.00148884,0.001491675366
4,0.75,0.00578696,0.005781071208
4,1,0.01451366,0.01451154942
4,1.5,0.04851243,0.04849165973
5,0.25,4.687e-05,4.715759049e-05
5,0.5,0.00081781,0.0008181552989
5,0.75,0.0041089,0.004106622968
5,1,0.01213815,0.01214604378
5,1.5,0.04903081,0.04903850865
6,0.25,2.153e-05,2.129083508e-05
6,0.5,0.00056224,0.0005623486587
6,0.75,0.00350494,0.003513435381
6,1,0.01184525,0.01184334846
6,1.5,0.05470282,0.05470079751
7,0.25,1.058e-05,1.047111762e-05
7,0.5,0.00040829,0.0004106099806
7,0.75,0.00314207,0.003146272429
7,1,0.01196097,0.01195835995
7,1.5,0.06216438,0.06221160474
8,0.25,7.03e-06,7.153710833e-06
8,0.5,0.00037938,0.0003835528296
8,0.75,0.00338095,0.003379962455
8,1,0.01373893,0.01373632423
8,1.5,0.07419593,0.0742322955
9,0.25,4e-06,4.118972817e-06
9,0.5,0.00031036,0.0003124797961
9,0.75,0.00327634,0.003278063331
9,1,0.01468452,0.01469511054
9,1.5,0.08662965,0.08665707839
10,0.25,3.2e-06,3.173242623e-06
10,0.5,0.00031421,0.0003125937024
10,0.75,0.00364741,0.003654666317
10,1,0.01710578,0.01714439525
10,1.5,0.10226618,0.10233103
11,0.25,2.47e-06,2.426291002e-06
11,0.5,0.0003088,0.0003090653283
11,0.75,0.00402529,0.004032165505
11,1,0.01982901,0.01984905039
11,1.5,0.12059811,0.1206206724
12,0.25,2.48e-06,2.580454054e-06
12,0.5,0.0003665,0.000367283264
12,0.75,0.00482618,0.004830398257
12,1,0.02322715,0.02324912095
12,1.5,0.13313136,0.1331594924
13,0.25,2.15e-06,2.236661703e-06
13,0.5,0.00038401,0.0003850824545
13,0.75,0.00542818,0.005426852256
13,1,0.02670818,0.02671822827
13,1.5,0.15210693,0.1521472302
14,0.25,3.07e-06,3.080315764e-06
14,0.5,0.00050054,0.0004983222436
14,0.75,0.0064255,0.006435023074
14,1,0.02942658,0.02945745563
14,1.5,0.15338444,0.1534052312
